Leg	Site	Hole	Core	Core_type	Section_number	Section_type	Top_cm	Depth_mbsf	Section_id	Density	Run_number	Run_timestamp	Core_status	Liner_status	Requested_daq_interval	Requested_daq_period	Actual_daq_period	Measured_counts	Core_diameter	Calibration_timestamp	Calib_density_m0	Calib_density_m1	Calib_density_mse
208	1262	C	1	H	3	S	22	92	388065	1	313	2003-03-28 21:37:00	FULL	FULL	2.5	5	5	37712	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	3	S	25	92	388065	1	313	2003-03-28 21:37:00	FULL	FULL	2.5	5	5	37357	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	3	S	27	92	388065	1	313	2003-03-28 21:37:00	FULL	FULL	2.5	5	5	37691	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	3	S	30	92	388065	1	313	2003-03-28 21:37:00	FULL	FULL	2.5	5	5	36816	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	3	S	32	92	388065	1	313	2003-03-28 21:37:00	FULL	FULL	2.5	5	5	37903	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	3	S	35	92	388065	1	313	2003-03-28 21:37:00	FULL	FULL	2.5	5	5	39158	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	3	S	37	92	388065	1	313	2003-03-28 21:37:00	FULL	FULL	2.5	5	5	39150	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	3	S	40	92	388065	1	313	2003-03-28 21:37:00	FULL	FULL	2.5	5	5	41099	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	3	S	42	92	388065	1	313	2003-03-28 21:37:00	FULL	FULL	2.5	5	5	39237	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	3	S	45	92	388065	1	313	2003-03-28 21:37:00	FULL	FULL	2.5	5	5	37434	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	3	S	47	92	388065	1	313	2003-03-28 21:37:00	FULL	FULL	2.5	5	5	39937	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	3	S	50	92	388065	1	313	2003-03-28 21:37:00	FULL	FULL	2.5	5	5	38179	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	3	S	52	92	388065	1	313	2003-03-28 21:37:00	FULL	FULL	2.5	5	5	36823	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	3	S	55	92	388065	1	313	2003-03-28 21:37:00	FULL	FULL	2.5	5	5	36677	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	3	S	57	93	388065	1	313	2003-03-28 21:37:00	FULL	FULL	2.5	5	5	36362	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	3	S	60	93	388065	1	313	2003-03-28 21:37:00	FULL	FULL	2.5	5	5	36388	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	3	S	62	93	388065	1	313	2003-03-28 21:37:00	FULL	FULL	2.5	5	5	36923	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
